Test,Animal,Tratamiento,Stage,Trial,Date,Time,Latencia,Distancia,Velocidad,TiempoSE,TiempoSO,TiempoNO,TiempoNE,EntradasNE,PromedioNE,EficienciaNE,EntradasSO,PromedioSO
129,3-2,CUMS_Fluox,entrenamiento_2,2,12/20/2022,15:44:00,36.8,6.963,0.189,10.4,6,9.1,11.3,1,0.329,0.113,0,0.427
130,3-2,CUMS_Fluox,entrenamiento_2,3,12/20/2022,15:45:00,6.2,0.735,0.118,0,0,2,4.2,1,0.253,0.444,0,0.714
131,3-2,CUMS_Fluox,entrenamiento_2,4,12/20/2022,15:45:00,13.1,2.596,0.198,0,5.5,0.2,7.4,1,0.34,0.274,2,0.416
132,4-2,CUMS_Fluox,entrenamiento_2,1,12/20/2022,15:46:00,8.5,1.99,0.235,1.5,0,1.4,5.5,1,0.176,0.171,0,0.594
133,4-2,CUMS_Fluox,entrenamiento_2,2,12/20/2022,15:47:00,8.3,1.893,0.229,0,5.2,1.4,1.7,1,0.49,0.327,1,0.217
134,4-2,CUMS_Fluox,entrenamiento_2,3,12/20/2022,15:47:00,25.1,5.698,0.227,6.5,1.5,7.7,9.5,1,0.331,0.038,0,0.532
135,4-2,CUMS_Fluox,entrenamiento_2,4,12/20/2022,15:48:00,6.5,1.28,0.198,4.3,0,0,2.2,1,0.384,0.487,0,0.59
152,1b,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:16:00,8.9,1.864,0.208,0,3.6,4.5,0.9,1,0.46,0.397,1,0.328
153,1b,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:16:00,3.8,0.899,0.234,1.6,1.5,0,0.7,1,0.496,0.787,0,0.327
154,1b,CUMS_ctrl,entrenamiento_3,3,12/21/2022,14:16:00,2.1,0.293,0.137,0,0,0,2.1,1,0.184,0.937,0,0.689
155,1b,CUMS_ctrl,entrenamiento_3,4,12/21/2022,14:17:00,5.2,0.957,0.185,0.7,0,0,4.5,1,0.159,0.242,0,0.62
156,2b,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:18:00,16.1,4.169,0.259,1.8,4,3.7,6.7,1,0.374,0.139,1,0.454
157,2b,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:19:00,2.4,0.75,0.317,1.1,0.6,0,0.7,1,0.394,0.896,0,0.36
158,2b,CUMS_ctrl,entrenamiento_3,3,12/21/2022,14:20:00,9.4,2.19,0.234,2.5,3.2,0.1,3.6,1,0.378,0.157,0,0.394
159,2b,CUMS_ctrl,entrenamiento_3,4,12/21/2022,14:20:00,23.2,5.199,0.224,9.2,4.9,2.4,6.7,1,0.349,0.071,1,0.391
160,3b,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:22:00,20.6,4.695,0.228,9.2,4.2,1.8,5.5,1,0.374,0.103,0,0.45
161,3b,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:22:00,17.6,4.232,0.24,3.4,3.9,4.4,5.9,1,0.369,0.169,0,0.402
162,3b,CUMS_ctrl,entrenamiento_3,3,12/21/2022,14:23:00,22.1,4.398,0.199,3.8,2.7,0.8,14.8,1,0.267,0.062,0,0.567
163,3b,CUMS_ctrl,entrenamiento_3,4,12/21/2022,14:24:00,7.6,1.369,0.18,0,0,2.5,5.1,1,0.159,0.218,0,0.609
164,1-1,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:27:00,49.6,9.15,0.184,7.5,7.3,12.5,22.3,1,0.341,0.081,1,0.526
165,1-1,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:28:00,33.3,6.343,0.19,8.5,6,9.5,9.3,1,0.382,0.105,0,0.422
166,1-1,CUMS_ctrl,entrenamiento_3,3,12/21/2022,14:29:00,28,5.204,0.186,2.7,6.9,8.5,9.8,1,0.376,0.056,1,0.451
167,1-1,CUMS_ctrl,entrenamiento_3,4,12/21/2022,14:30:00,2.1,0.27,0.129,0,0,0,2.1,1,0.126,0.905,0,0.626
168,2-1,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:33:00,15.2,3.349,0.22,0.1,3.4,6,5.7,1,0.376,0.145,0,0.425
169,2-1,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:33:00,41.1,9.39,0.229,11.3,4.9,8.6,16.3,1,0.372,0.066,0,0.522
170,2-1,CUMS_ctrl,entrenamiento_3,3,12/21/2022,14:34:00,4.1,0.459,0.112,0,0,0,4.1,1,0.131,0.457,0,0.783
171,2-1,CUMS_ctrl,entrenamiento_3,4,12/21/2022,14:35:00,5.9,0.933,0.159,0,0,1.8,4.1,1,0.15,0.377,0,0.629
172,3-1,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:35:00,33.8,8.097,0.239,9.3,8.4,6.5,9.6,1,0.435,0.088,2,0.476
173,3-1,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:36:00,39.9,8.072,0.202,6.6,13.2,6,14.1,1,0.376,0.094,2,0.409
174,3-1,CUMS_ctrl,entrenamiento_3,3,12/21/2022,14:37:00,1.6,0.26,0.16,0,0,0,1.6,1,0.149,0.889,0,0.744
175,3-1,CUMS_ctrl,entrenamiento_3,4,12/21/2022,14:38:00,12.7,2.7,0.212,3.4,3.5,3.3,2.5,1,0.509,0.107,0,0.436
176,4-1,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:39:00,4.5,2.574,0.567,0,1.3,1.9,1.3,1,0.428,0.264,0,0.348
177,4-1,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:39:00,8.5,2.03,0.237,4.2,0.7,0,3.6,1,0.3,0.307,0,0.492
178,4-1,CUMS_ctrl,entrenamiento_3,3,12/21/2022,14:40:00,18.3,3.788,0.207,6.1,0.1,2.2,9.9,1,0.223,0.089,0,0.489
179,4-1,CUMS_ctrl,entrenamiento_3,4,12/21/2022,14:41:00,8,1.546,0.194,0.3,0,1.4,6.2,1,0.166,0.172,0,0.602
136,1a,CUMS_Fluox,entrenamiento_3,1,12/21/2022,13:58:00,18.1,1.477,0.081,0,0.7,17,0.5,1,0.316,0.19,0,0.323
137,1a,CUMS_Fluox,entrenamiento_3,2,12/21/2022,13:59:00,4.7,1.085,0.23,2.4,0,0,2.3,1,0.292,0.612,0,0.459
138,1a,CUMS_Fluox,entrenamiento_3,3,12/21/2022,13:59:00,14.7,3.245,0.221,2.2,3.2,3.9,5.3,1,0.37,0.076,0,0.403
139,1a,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:00:00,10.9,2.475,0.226,5.3,0,0.4,5.2,1,0.333,0.151,0,0.498
140,2a,CUMS_Fluox,entrenamiento_3,1,12/21/2022,14:03:00,0.4,0,0,0,0,0,0.4,1,0,NA,0,0.605
