,hora,X,0,1,2,3,4,5,6,7
167,18.2,10,NA,10,NA,NA,NA,NA,NA,NA
168,18.3,135,NA,135,NA,NA,NA,NA,NA,NA
169,18.4,101,NA,101,NA,NA,NA,NA,NA,NA
170,18.5,3,NA,3,NA,NA,NA,NA,NA,NA
171,20.2,0,NA,0,NA,NA,NA,NA,NA,NA
172,20.3,0,NA,0,0,0,0,0,NA,NA
173,20.4,16,NA,16,NA,NA,NA,NA,NA,NA
174,20.5,234,NA,234,NA,NA,NA,NA,NA,NA
175,21,215,NA,215,NA,NA,NA,NA,NA,NA
176,21.1,74,NA,74,NA,NA,NA,NA,NA,NA
177,21.2,78,NA,78,NA,NA,NA,NA,NA,NA
178,21.3,109,NA,109,NA,NA,NA,NA,NA,NA
179,21.4,168,NA,168,NA,NA,NA,NA,NA,NA
180,21.5,18,NA,18,NA,NA,NA,NA,NA,NA
181,22,0,NA,0,NA,NA,0,0,0,NA
182,23,2,NA,2,NA,NA,NA,NA,NA,NA
183,23.1,8,NA,8,NA,NA,NA,NA,NA,NA
184,23.2,79,NA,79,NA,NA,NA,NA,NA,NA
185,23.3,36,NA,36,NA,NA,NA,NA,NA,NA
186,23.4,0,NA,0,NA,NA,0,NA,NA,NA
187,0,201,NA,NA,201,NA,NA,NA,NA,NA
188,0.1,103,NA,NA,103,NA,NA,NA,NA,NA
189,0.2,50,NA,NA,50,NA,NA,NA,NA,NA
190,0.3,241,NA,NA,241,NA,NA,NA,NA,NA
191,0.4,1,NA,NA,1,NA,NA,NA,NA,NA
192,0.5,0,NA,NA,0,NA,0,NA,NA,NA
193,1,270,NA,NA,270,NA,NA,NA,NA,NA
194,1.1,164,NA,NA,164,NA,NA,NA,NA,NA
195,1.2,93,NA,NA,93,NA,NA,NA,NA,NA
196,1.3,20,NA,NA,20,NA,NA,NA,NA,NA
197,1.4,0,NA,NA,0,NA,0,NA,NA,NA
198,1.5,362,NA,NA,362,NA,NA,NA,NA,NA
199,2,13,NA,NA,13,NA,NA,NA,NA,NA
200,2.1,26,NA,NA,26,NA,NA,NA,NA,NA
201,2.3,54,NA,NA,54,NA,NA,NA,NA,NA
202,2.4,65,NA,NA,65,NA,NA,NA,NA,NA
203,2.5,50,NA,NA,50,NA,NA,NA,NA,NA
204,3,8,NA,NA,8,NA,NA,NA,NA,NA
205,3.3,4,NA,NA,4,NA,NA,NA,NA,NA
206,4,18,NA,NA,18,NA,NA,NA,NA,NA
