Registro empezado el 2023/1/3 a las 14:7,,,,,,,,
Hora,Canal1,,,,,,,
20:00,,,,514,,,,
20:10,,,,10,,,,
20:20,,,,52,,,,
20:30,,,,0,,,,
20:40,,,,0,,,,
20:50,,,,0,,,,
21:00,,,,0,,,,
21:10,,,,0,,,,
21:20,,,,0,,,,
21:30,,,,0,,,,
21:40,,,,0,,,,
21:50,,,,25,,,,
22:00,,,,349,,,,
22:10,,,,22,,,,
22:20,,,,228,,,,
22:30,,,,320,,,,
22:40,,,,78,,,,
22:50,,,,113,,,,
23:00,,,,291,,,,
23:10,,,,311,,,,
23:20,,,,408,,,,
23:30,,,,134,,,,
23:40,,,,1,,,,
23:50,,,,0,,,,
00:00,,,,,328,,,
00:10,,,,,228,,,
00:20,,,,,483,,,
00:30,,,,,288,,,
00:40,,,,,139,,,
00:50,,,,,0,,,
01:00,,,,,6,,,
01:10,,,,,0,,,
01:20,,,,,0,,,
01:30,,,,,0,,,
01:40,,,,,0,,,
01:50,,,,,0,,,
02:00,,,,,0,,,
02:10,,,,,0,,,
02:20,,,,,0,,,
02:30,,,,,0,,,
02:40,,,,,0,,,
02:50,,,,,0,,,
03:00,,,,,0,,,
03:10,,,,,0,,,
03:20,,,,,0,,,
03:30,,,,,0,,,
03:40,,,,,0,,,
03:50,,,,,0,,,
04:00,,,,,0,,,
04:10,,,,,0,,,
04:20,,,,,0,,,
04:30,,,,,1,,,
04:40,,,,,2,,,
04:50,,,,,32,,,
05:00,,,,,18,,,
05:10,,,,,0,,,
05:20,,,,,0,,,
05:30,,,,,11,,,
05:40,,,,,198,,,
05:50,,,,,1,,,
06:00,,,,,1,,,
06:10,,,,,0,,,
06:20,,,,,0,,,
06:30,,,,,0,,,
06:40,,,,,0,,,
06:50,,,,,0,,,
07:00,,,,,0,,,
07:10,,,,,0,,,
07:20,,,,,0,,,
07:30,,,,,0,,,
07:40,,,,,0,,,
07:50,,,,,1,,,
08:00,,,,,3,,,
08:10,,,,,1,,,
08:20,,,,,0,,,
08:30,,,,,0,,,
08:40,,,,,0,,,
08:50,,,,,0,,,
09:00,,,,,0,,,
09:10,,,,,0,,,
09:20,,,,,0,,,
09:30,,,,,0,,,
09:40,,,,,0,,,
09:50,,,,,0,,,
10:00,,,,,0,,,
10:10,,,,,0,,,
10:20,,,,,0,,,
10:30,,,,,0,,,
10:40,,,,,0,,,
10:50,,,,,0,,,
11:00,,,,,0,,,
11:10,,,,,0,,,
11:20,,,,,0,,,
11:30,,,,,0,,,
11:40,,,,,0,,,
11:50,,,,,0,,,
12:00,,,,,0,,,
12:10,,,,,1,,,
12:20,,,,,2,,,
12:30,,,,,0,,,
12:40,,,,,0,,,
12:50,,,,,0,,,
13:00,,,,,0,,,
13:10,,,,,0,,,
13:20,,,,,0,,,
13:30,,,,,0,,,
13:40,,,,,0,,,
13:50,,,,,0,,,
14:00,,,,,0,,,
14:10,,,,,0,,,
14:20,,,,,0,,,
14:30,,,,,0,,,
14:40,,,,,0,,,
14:50,,,,,0,,,
15:00,,,,,0,,,
15:10,,,,,2,,,
15:20,,,,,33,,,
15:30,,,,,226,,,
15:40,,,,,32,,,
15:50,,,,,0,,,
16:00,,,,,0,,,
16:10,,,,,357,,,
16:20,,,,,348,,,
