"","Track_ID","_TargetID","_Day","_Trial","_Arena","Probe","Sexo","tratamiento","strategy","name","confidence","1","2","3","4","5","6","7","8","9","path.length","mean.velocity","sd.velocity","total.time","latency.to.goal","goal.crossings","old.goal.crossings","coverage","mean.d.centroid","mean.d.goal","mean.d.old.goal","mean.d.origin","sd.d.centroid","sd.d.goal","sd.d.old.goal","sd.d.origin","centroid.goal.displacement","centroid.old.goal.displacement","mean.initial.heading.error","initial.trajectory.error","initial.reversal.error","turning","turning.absolute","efficiency","roaming.entropy","time.in.zone.pool","time.in.zone.wall","time.in.zone.far.wall","time.in.zone.annulus","time.in.zone.goal","time.in.zone.old.goal","time.in.zone.n.quadrant","time.in.zone.e.quadrant","time.in.zone.s.quadrant","time.in.zone.w.quadrant"
"fluoxetina_grupo1_36","fluoxetina_grupo1_36","2b","2","1","Arena_NE.txt","FALSE","masculino","CUMS_ctrl",4,"scanning",0.42,0.212,0.166,0.162,0.42,0.022,0.016,0,0,0,985.65398380461,21.5105892450757,9.6003407929166,46.01802,NA,0,0,0.158287417471678,38.2832413364793,63.6572608110626,NA,43.5657291563139,16.8821438015024,18.4167575054239,NA,11.5694584102891,51.4451744225671,NA,35.0513532489171,59.3163484041289,NA,2.58962015301694e-18,0.447572590275392,17.1428571428571,0.848679083107139,60,27.7804295942721,11.5990453460621,12.0286396181384,0,0,27.3508353221957,11.0262529832936,5.58472553699284,16.0381861575179
"fluoxetina_grupo1_37","fluoxetina_grupo1_37","2b","2","2","Arena_NE.txt","FALSE","masculino","CUMS_ctrl",4,"scanning",0.252,0.184,0.178,0.158,0.252,0.096,0.12,0.006,0,0,469.161485244706,22.1018806833158,9.88586666217157,21.26802,NA,0,0,0.18676838430243,39.3946344458152,45.4504349919975,NA,40.3212821309854,15.1393276846928,22.5256451397495,NA,14.1183661740364,28.0229389787589,NA,46.4128822521327,23.4755334772184,NA,0.0031365959558157,0.634386455647697,0,0.785865601237468,58.7692307692308,22.4615384615385,9.84615384615385,10.7692307692308,0,0,10.4615384615385,12,22.7692307692308,13.5384615384615
"fluoxetina_grupo1_38","fluoxetina_grupo1_38","2b","2","3","Arena_NE.txt","FALSE","masculino","CUMS_ctrl",6,"directed search",0.51,0.02,0.092,0.01,0.252,0,0.51,0.11,0,0,174.684533146895,18.968053137065,7.53974986823633,9.2202,NA,0,0,0.0781652110986072,22.4936495932177,53.1050398779054,NA,28.3642018245446,11.0791660563948,18.3023699261147,NA,11.6980956606106,50.2886945087037,NA,29.2682555545921,59.8641427233365,NA,-0.0189252569493361,0.271738181792484,28.5714285714286,0.670169426212065,60,5.64705882352941,5.64705882352941,12.7058823529412,0,0,21.8823529411765,12.7058823529412,6.35294117647059,19.0588235294118
"fluoxetina_grupo1_39","fluoxetina_grupo1_39","2b","2","4","Arena_NE.txt","FALSE","masculino","CUMS_ctrl",6,"directed search",0.45,0.076,0.044,0.008,0.082,0.01,0.45,0.312,0.016,0,193.771381776942,15.2829921872344,11.6713389887104,11.8998,12.93,1,0,0.233313413709864,30.8847669556407,44.3418851561594,NA,47.6170741347991,15.4482683939597,16.9968001941476,NA,12.261896331596,29.5688974304079,NA,NA,40.3260946291604,NA,-0.00828739203916859,1.0267963277043,0,0.516016171137817,54.5454545454545,32.7272727272727,10.9090909090909,5.45454545454546,2.72727272727273,0,0,35.4545454545455,13.6363636363636,5.45454545454546
"fluoxetina_grupo1_40","fluoxetina_grupo1_40","3b","2","1","Arena_NE.txt","FALSE","masculino","CUMS_ctrl",3,"random path",0.324,0.258,0.088,0.324,0.31,0.016,0.004,0,0,0,1453.16823336007,24.353981039314,11.6384110380381,59.508,NA,0,0,0.343919944284241,41.5441862906624,59.8457443537651,NA,43.5087676371061,13.2515284573074,22.7630539297748,NA,12.5271751638188,46.9353366185178,NA,14.0380373950612,53.6811380285478,NA,-0.00558775459609758,0.527168850734709,69.6969696969697,0.877880803331009,59.7757009345794,28.7102803738318,11.5514018691589,9.98130841121495,0,0,20.1869158878505,15.7009345794393,8.52336448598131,15.3644859813084
"fluoxetina_grupo1_41","fluoxetina_grupo1_41","3b","2","2","Arena_NE.txt","FALSE","masculino","CUMS_ctrl",7,"corrected search",0.456,0.004,0.036,0.004,0.072,0.01,0.394,0.456,0.022,0,110.698720277743,29.7401160718088,25.9944424600173,4.8198,NA,0,0,0.0252282346104889,15.948120120129,31.0080183892641,NA,35.4961518106133,6.36722482514538,15.3754716453306,NA,10.3442748391701,30.6948559633748,NA,22.5404694431093,42.0295096806993,NA,-0.039409963825977,1.65063574083388,16.6666666666667,0.545943739817793,60,10.9090909090909,8.18181818181818,16.3636363636364,0,0,0,35.4545454545455,24.5454545454545,0
"fluoxetina_grupo1_42","fluoxetina_grupo1_42","3b","2","3","Arena_NE.txt","FALSE","masculino","CUMS_ctrl",7,"corrected search",0.402,0.062,0.076,0.008,0.086,0.006,0.196,0.402,0.162,0,37.4336288861728,12.6220449535983,8.63680641430618,2.98002,NA,0,0,0.00318528229260197,7.63211746721847,25.9780106987618,NA,48.0339361955669,5.98442784592927,9.51186777596413,NA,7.35920842101377,26.3074180084631,NA,20.751367474925,6.83073085401554,NA,-0.198849278888868,0.431922407729735,55.5555555555556,0.467401906306346,60,36.4285714285714,12.8571428571429,10.7142857142857,0,0,0,0,60,0
"fluoxetina_grupo1_43","fluoxetina_grupo1_43","3b","2","4","Arena_NE.txt","FALSE","masculino","CUMS_ctrl",4,"scanning",0.432,0.012,0.086,0.038,0.432,0.036,0.376,0.012,0,0,429.789619085772,20.1392512443344,8.85664605232961,21.38202,NA,0,0,0.294312961649771,30.1830965391174,39.1203124796797,NA,35.9278546252505,12.3230101314494,18.2095612821842,NA,14.6655914441072,27.9843748416493,NA,23.4008264568578,28.4283679447133,NA,0.0101869591354491,0.411763718525379,31.25,0.771049941026218,60,14.6938775510204,13.469387755102,12.2448979591837,0,0,0,33.6734693877551,16.8367346938775,9.48979591836735
"fluoxetina_grupo1_44","fluoxetina_grupo1_44","1-1","2","1","Arena_NE.txt","FALSE","femenino","CUMS_ctrl",1,"thigmotaxis",0.668,0.668,0.11,0.112,0.1,0.006,0.004,0,0,0,1330.94300039609,22.3647884402909,10.1194131027554,59.54202,NA,0,0,0.735437132630219,42.4442611490005,60.9381674199566,NA,45.015464852578,16.9048561869091,21.6973583854609,NA,13.9734351323045,45.8323211917361,NA,28.9711348259787,63.1658248422357,NA,-0.00656756377754607,0.409002479073654,26.0869565217391,0.868440819907641,58.3394833948339,31.1070110701107,6.42066420664207,10.9594095940959,0,0,25.3505535055351,17.2693726937269,8.41328413284133,7.30627306273063
"fluoxetina_grupo1_45","fluoxetina_grupo1_45","1-1","2","2","Arena_NE.txt","FALSE","femenino","CUMS_ctrl",6,"directed search",0.394,0.042,0.104,0.052,0.278,0.086,0.394,0.036,0,0,354.897757829074,21.3680506892122,9.19978329487186,16.63998,NA,0,0,0.12218951960444,36.5667408063016,45.532501944102,NA,38.1372283830138,17.7482643086466,20.7068042990901,NA,16.525599287219,28.9687765397438,NA,92.9618914787902,30.7130086445467,NA,0.0125651902998177,0.419788625246185,5.88235294117647,0.748641640146106,60,23.1372549019608,7.45098039215686,10.9803921568627,0,0,8.62745098039216,21.1764705882353,15.6862745098039,14.5098039215686
