Test,Animal,Treatment,Stage,Trial,Date,Time,Duration,Distance,Velocidad,TiempoSE,TiempoSO,TiempoNO,TiempoNE
70,3-2,CUMS_Fluox,entrenamiento_1,3,12/19/2022,16:12:00,51.8,11.145,0.215,7.2,9.4,11.4,23.9
71,3-2,CUMS_Fluox,entrenamiento_1,4,12/19/2022,16:13:00,5.5,0.733,0.133,0,0,1.7,3.8
72,4-2,CUMS_Fluox,entrenamiento_1,1,12/19/2022,16:15:00,60,13.928,0.232,9.4,19.8,23,7.7
73,4-2,CUMS_Fluox,entrenamiento_1,2,12/19/2022,16:17:00,54,11.318,0.21,8.1,10.7,12,23.2
74,4-2,CUMS_Fluox,entrenamiento_1,3,12/19/2022,16:18:00,53.4,9.945,0.186,9.4,4.2,13.3,26.5
75,4-2,CUMS_Fluox,entrenamiento_1,4,12/19/2022,16:20:00,40.3,6.464,0.16,2.8,0,15.4,22.1
92,1b,CUMS_ctrl,entrenamiento_2,1,12/20/2022,15:02:00,4.5,0.776,0.173,1.5,0,0,2.9
93,1b,CUMS_ctrl,entrenamiento_2,2,12/20/2022,15:02:00,22.7,5.077,0.224,2.9,5.9,4.9,9
94,1b,CUMS_ctrl,entrenamiento_2,3,12/20/2022,15:03:00,2,0.279,0.136,0,0,0.5,1.5
95,1b,CUMS_ctrl,entrenamiento_2,4,12/20/2022,15:04:00,25.8,5.866,0.227,8.5,4.8,6.4,6.1
96,2b,CUMS_ctrl,entrenamiento_2,1,12/20/2022,15:07:00,3.7,0.689,0.186,1,0,0,2.7
97,2b,CUMS_ctrl,entrenamiento_2,2,12/20/2022,15:07:00,8.3,2.03,0.245,4.2,2,1.2,1
98,2b,CUMS_ctrl,entrenamiento_2,3,12/20/2022,15:08:00,1.9,0.368,0.196,0,0,0,1.9
99,2b,CUMS_ctrl,entrenamiento_2,4,12/20/2022,15:08:00,16.9,3.932,0.233,1.2,4.1,3.2,8.4
100,3b,CUMS_ctrl,entrenamiento_2,1,12/20/2022,15:09:00,37,10.119,0.273,9.5,11,4.7,11.8
101,3b,CUMS_ctrl,entrenamiento_2,2,12/20/2022,15:10:00,8.1,2.217,0.275,2.9,0,2.5,2.6
102,3b,CUMS_ctrl,entrenamiento_2,3,12/20/2022,15:12:00,3.3,0.738,0.226,0.9,0,0.2,2.2
103,3b,CUMS_ctrl,entrenamiento_2,4,12/20/2022,15:12:00,23.1,5.441,0.235,2.6,5.4,2.1,13.1
104,1-1,CUMS_ctrl,entrenamiento_2,1,12/20/2022,15:15:00,33.1,7.755,0.234,9.5,6.2,4.1,13.4
105,1-1,CUMS_ctrl,entrenamiento_2,2,12/20/2022,15:16:00,6.2,1.31,0.21,0,1.4,1.6,3.3
106,1-1,CUMS_ctrl,entrenamiento_2,3,12/20/2022,15:17:00,21.8,3.964,0.182,1.6,3.6,4.3,12.3
107,1-1,CUMS_ctrl,entrenamiento_2,4,12/20/2022,15:18:00,12.5,2.163,0.174,2,5.4,0.2,4.9
108,2-1,CUMS_ctrl,entrenamiento_2,1,12/20/2022,15:21:00,16.1,3.497,0.217,3,3.2,2.7,7.2
109,2-1,CUMS_ctrl,entrenamiento_2,2,12/20/2022,15:22:00,3.3,0.735,0.222,0,0,2.5,0.8
110,2-1,CUMS_ctrl,entrenamiento_2,3,12/20/2022,15:22:00,60,12.731,0.212,7.6,9.5,20.9,22
111,2-1,CUMS_ctrl,entrenamiento_2,4,12/20/2022,15:25:00,8.8,1.331,0.151,2.4,4.4,0,2
112,3-1,CUMS_ctrl,entrenamiento_2,1,12/20/2022,15:27:00,11.5,2.701,0.235,2,0,0,9.4
113,3-1,CUMS_ctrl,entrenamiento_2,2,12/20/2022,15:27:00,3.4,0.866,0.255,0,0,2.5,0.9
114,3-1,CUMS_ctrl,entrenamiento_2,3,12/20/2022,15:28:00,16,3.938,0.247,3,3.3,6.4,3.3
115,3-1,CUMS_ctrl,entrenamiento_2,4,12/20/2022,15:28:00,5.3,1.277,0.239,0,1.8,0.7,2.9
116,4-1,CUMS_ctrl,entrenamiento_2,1,12/20/2022,15:30:00,3.6,0.754,0.209,2.8,0,0,0.8
117,4-1,CUMS_ctrl,entrenamiento_2,2,12/20/2022,15:30:00,52.3,13.287,0.254,16.6,12.6,6.4,16.6
118,4-1,CUMS_ctrl,entrenamiento_2,3,12/20/2022,15:31:00,14.4,3.319,0.23,5.5,2.5,2.2,4.2
119,4-1,CUMS_ctrl,entrenamiento_2,4,12/20/2022,15:32:00,2.9,0.591,0.2,1.8,0,0,1.1
76,1a,CUMS_Fluox,entrenamiento_2,1,12/20/2022,14:42:00,21.3,4.89,0.23,5.4,3.1,3.1,9.7
77,1a,CUMS_Fluox,entrenamiento_2,2,12/20/2022,14:43:00,8.2,1.98,0.24,0,3,4,1.2
78,1a,CUMS_Fluox,entrenamiento_2,3,12/20/2022,14:44:00,1.6,0.229,0.146,0,0,0,1.6
79,1a,CUMS_Fluox,entrenamiento_2,4,12/20/2022,14:44:00,26.7,6.08,0.227,9.6,5.9,0,11.3
80,2a,CUMS_Fluox,entrenamiento_2,1,12/20/2022,14:48:00,60,15.564,0.259,12.5,12.2,15.6,19.7
81,2a,CUMS_Fluox,entrenamiento_2,2,12/20/2022,14:50:00,30.6,6.114,0.2,5.6,5.1,8.5,11.5
82,2a,CUMS_Fluox,entrenamiento_2,3,12/20/2022,14:51:00,11.2,2.137,0.19,3.1,3.2,2.1,2.9
83,2a,CUMS_Fluox,entrenamiento_2,4,12/20/2022,14:51:00,16.3,3.027,0.185,3.3,1.3,3,8.8
84,3a,CUMS_Fluox,entrenamiento_2,1,12/20/2022,14:53:00,3,0.333,0.11,0,0,0,3
85,3a,CUMS_Fluox,entrenamiento_2,2,12/20/2022,14:53:00,5.5,1.366,0.247,0,1.8,2.5,1.2
86,3a,CUMS_Fluox,entrenamiento_2,3,12/20/2022,14:54:00,3.4,0.818,0.241,1.4,0,1,1
87,3a,CUMS_Fluox,entrenamiento_2,4,12/20/2022,14:54:00,6.4,1.525,0.239,0,2.9,2,1.6
88,4a,CUMS_Fluox,entrenamiento_2,1,12/20/2022,14:56:00,1.8,0.264,0.15,0,0,0,1.8
89,4a,CUMS_Fluox,entrenamiento_2,2,12/20/2022,14:57:00,60,16.257,0.271,12.3,16.5,14.7,16.5
90,4a,CUMS_Fluox,entrenamiento_2,3,12/20/2022,14:58:00,20.3,4.116,0.203,0,4.5,7.1,8.7
91,4a,CUMS_Fluox,entrenamiento_2,4,12/20/2022,14:59:00,3.8,0.789,0.206,3,0,0,0.8
120,1-2,CUMS_Fluox,entrenamiento_2,1,12/20/2022,15:36:00,6,0.643,0.107,3.7,0,0,2.3
121,1-2,CUMS_Fluox,entrenamiento_2,2,12/20/2022,15:36:00,8.4,1.254,0.148,0,2.5,1.8,4.2
122,1-2,CUMS_Fluox,entrenamiento_2,3,12/20/2022,15:37:00,7.6,1.827,0.242,3.4,0.7,2.3,1.2
123,1-2,CUMS_Fluox,entrenamiento_2,4,12/20/2022,15:37:00,5.4,0.963,0.178,2,1.7,0,1.7
124,2-2,CUMS_Fluox,entrenamiento_2,1,12/20/2022,15:40:00,4.5,0.924,0.205,0,0,0,4.5
125,2-2,CUMS_Fluox,entrenamiento_2,2,12/20/2022,15:40:00,4.2,1.048,0.252,0.3,3.1,0,0.8
126,2-2,CUMS_Fluox,entrenamiento_2,3,12/20/2022,15:41:00,4.7,0.975,0.206,0,0,3.8,0.9
127,2-2,CUMS_Fluox,entrenamiento_2,4,12/20/2022,15:41:00,2.4,0.627,0.258,1.7,0,0,0.7
128,3-2,CUMS_Fluox,entrenamiento_2,1,12/20/2022,15:43:00,43.6,9.224,0.211,15.6,9.1,3.7,15.2
129,3-2,CUMS_Fluox,entrenamiento_2,2,12/20/2022,15:44:00,36.8,6.963,0.189,10.4,6,9.1,11.3
130,3-2,CUMS_Fluox,entrenamiento_2,3,12/20/2022,15:45:00,6.2,0.735,0.118,0,0,2,4.2
131,3-2,CUMS_Fluox,entrenamiento_2,4,12/20/2022,15:45:00,13.1,2.596,0.198,0,5.5,0.2,7.4
132,4-2,CUMS_Fluox,entrenamiento_2,1,12/20/2022,15:46:00,8.5,1.99,0.235,1.5,0,1.4,5.5
133,4-2,CUMS_Fluox,entrenamiento_2,2,12/20/2022,15:47:00,8.3,1.893,0.229,0,5.2,1.4,1.7
134,4-2,CUMS_Fluox,entrenamiento_2,3,12/20/2022,15:47:00,25.1,5.698,0.227,6.5,1.5,7.7,9.5
135,4-2,CUMS_Fluox,entrenamiento_2,4,12/20/2022,15:48:00,6.5,1.28,0.198,4.3,0,0,2.2
152,1b,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:16:00,8.9,1.864,0.208,0,3.6,4.5,0.9
153,1b,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:16:00,3.8,0.899,0.234,1.6,1.5,0,0.7
154,1b,CUMS_ctrl,entrenamiento_3,3,12/21/2022,14:16:00,2.1,0.293,0.137,0,0,0,2.1
155,1b,CUMS_ctrl,entrenamiento_3,4,12/21/2022,14:17:00,5.2,0.957,0.185,0.7,0,0,4.5
156,2b,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:18:00,16.1,4.169,0.259,1.8,4,3.7,6.7
157,2b,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:19:00,2.4,0.75,0.317,1.1,0.6,0,0.7
158,2b,CUMS_ctrl,entrenamiento_3,3,12/21/2022,14:20:00,9.4,2.19,0.234,2.5,3.2,0.1,3.6
159,2b,CUMS_ctrl,entrenamiento_3,4,12/21/2022,14:20:00,23.2,5.199,0.224,9.2,4.9,2.4,6.7
160,3b,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:22:00,20.6,4.695,0.228,9.2,4.2,1.8,5.5
