Time,Centre position X,Centre position Y
83.130,149,84
83.240,148,82
83.350,147,80
83.470,146,79
83.580,145,79
83.710,146,79
83.820,146,76
83.930,146,70
84.050,147,62
84.170,148,61
84.280,148,61
84.400,148,60
84.510,148,61
84.620,148,60
84.730,148,60
84.850,148,60
84.970,149,60
85.090,148,60
85.210,149,60
85.330,148,60
85.440,148,61
85.550,148,61
85.670,148,59
85.790,148,56
85.910,148,54
86.020,148,55
86.140,147,55
86.260,148,55
86.380,148,55
86.500,148,55
86.610,148,55
86.720,148,55
86.840,148,55
86.960,149,55
87.070,149,55
87.200,149,56
87.310,149,56
87.440,149,57
87.560,150,57
87.680,150,58
87.790,150,58
87.900,150,58
88.010,150,58
88.130,150,58
88.240,150,58
88.360,150,59
88.490,150,58
88.610,150,58
88.720,149,55
88.840,149,54
88.950,148,55
89.070,149,55
89.180,149,56
89.300,150,56
89.410,150,56
89.520,150,56
89.630,150,57
89.750,150,57
89.870,150,57
89.990,150,57
90.100,150,57
90.210,150,57
90.330,150,57
90.440,150,58
90.560,150,58
90.680,150,58
90.800,150,58
90.910,149,58
91.030,150,59
91.150,150,59
91.270,150,58
91.390,150,58
91.500,150,58
91.630,150,58
91.750,150,58
91.870,151,58
91.970,151,58
92.090,150,58
92.200,150,58
92.320,151,58
92.430,152,56
92.540,152,54
92.660,153,52
92.780,154,51
92.880,154,51
93.000,154,51
93.110,154,51
93.220,155,50
93.340,156,50
93.460,156,50
93.580,156,50
93.690,156,50
93.800,156,50
93.930,156,49
94.050,156,49
94.160,155,50
94.270,154,52
94.370,155,52
94.490,156,53
94.610,154,52
94.730,155,52
94.850,156,53
94.960,154,54
95.080,152,55
95.190,152,56
95.310,152,56
95.420,153,56
95.530,153,56
95.640,153,56
95.750,153,56
95.860,151,56
95.980,150,57
96.100,149,58
96.220,150,57
96.340,150,57
96.460,150,57
96.580,150,57
96.700,149,59
96.810,149,60
96.920,149,60
97.040,149,60
97.150,149,61
97.260,149,60
97.380,149,60
97.500,148,59
97.620,147,59
97.730,148,59
97.850,149,61
97.970,151,61
98.090,150,63
98.210,149,66
98.320,147,76
98.440,146,90
98.560,145,113
98.670,144,133
98.790,144,150
98.900,144,169
99.020,143,194
99.150,143,218
99.270,143,240
99.380,143,268
99.510,143,298
99.620,144,316
99.740,144,322
99.850,144,324
99.970,144,324
100.090,144,323
100.200,143,323
100.310,144,325
100.430,144,327
100.540,143,329
100.660,143,330
100.780,143,330
100.890,143,330
101.000,143,328
101.120,145,325
101.240,145,323
101.350,147,325
101.460,150,329
101.580,150,332
101.690,150,332
101.800,149,332
101.920,149,332
102.040,149,331
102.160,151,330
102.280,152,330
102.390,153,329
102.510,154,329
102.630,157,329
102.750,169,329
102.870,185,328
102.980,208,328
103.090,225,329
103.210,245,330
103.330,271,333
103.450,298,334
103.560,320,335
103.680,342,335
103.790,368,335
103.910,393,336
104.020,404,335
104.140,412,336
104.260,413,335
104.380,418,333
104.500,423,332
104.610,424,330
104.730,424,330
104.840,424,331
104.960,424,331
105.080,423,330
105.190,423,329
105.310,422,329
105.420,421,329
105.540,421,329
105.660,421,329
105.770,421,329
105.890,421,329
106.010,421,329
106.120,418,331
106.240,416,331
106.350,415,333
106.470,413,332
106.580,414,332
106.700,414,333
106.810,414,334
106.920,414,334
107.040,413,335
107.150,413,334
107.270,413,334
107.380,413,334
107.490,413,334
107.610,413,334
107.720,413,335
107.840,413,335
107.960,413,335
108.080,413,335
108.190,413,335
108.310,413,334
108.420,413,334
108.530,414,332
108.650,413,332
108.770,413,332
108.890,415,332
109.000,415,333
109.120,415,334
109.250,415,334
109.360,415,334
109.480,415,334
109.590,415,334
109.700,415,334
109.810,416,333
109.930,417,333
110.040,417,331
110.160,417,328
110.280,417,328
110.390,417,329
110.500,418,328
110.620,420,326
110.740,424,316
110.850,425,312
110.960,425,306
111.080,425,295
111.200,425,283
111.310,426,261
111.430,428,241
111.540,428,217
111.670,428,198
111.780,429,172
111.890,429,152
